diocese_name,address,city,state,site_link,parish_list_url,is_ecatholic,is_target
Diocese of Victoria,"P.O. Box 4070, 1505 E. Mesquite Lane",Victoria,TX,http://www.victoriadiocese.org/,,,FALSE
Diocese of Salt Lake City,27 C Street,Salt Lake City,UT,https://www.dioslc.org/,https://www.dioslc.org/parishfinder,TRUE,FALSE
Diocese of Burlington,55 Joy Drive,South Burlington,VT,http://www.vermontcatholic.org/,https://www.vermontcatholic.org/parishes/find-parish-mass-time/,,FALSE
"Diocese of St. Thomas, VI",P.O. Box 301825,St. Thomas,VI,http://www.catholicvi.com/,https://www.catholicvi.com/parishfinder,TRUE,FALSE
Diocese of Arlington,200 North Glebe Road,Arlington,VA,http://www.arlingtondiocese.org/,https://www.arlingtondiocese.org/parish-finder/,,FALSE
Diocese of Richmond,7800 Carousel Lane,Richmond,VA,http://www.richmonddiocese.org/,https://richmonddiocese.org/parishes/,,FALSE
Archdiocese of Seattle,710 9th Avenue,Seattle,WA,http://www.seattlearchdiocese.org/,https://archseattle.org/finder/?mode=Parish,,FALSE
Diocese of Spokane,P.O. Box 1453,Spokane,WA,http://www.dioceseofspokane.org/,https://www.dioceseofspokane.org/parish-directory,,FALSE
Diocese of Yakima,P.O. Box 2189,Yakima,WA,http://www.yakimadiocese.org/,https://yakimadiocese.org/directory-parishes/categories/parish/,,FALSE
Archdiocese of the Military Services,"1025 Michigan Avenue N.E., P.O. Box 4469",Washington,DC,http://www.milarch.org/,,,FALSE
Archdiocese of Washington,P.O. Box 29260,Washington,DC,http://www.adw.org/,https://adw.org/parishes-masses/parish-mass-finder/,,FALSE
Diocese of Wheeling-Charleston,1300 Byron Street,Wheeling,WV,http://www.dwc.org/,,,FALSE
Archdiocese of Milwaukee,P.O. Box 70912,Milwaukee,WI,http://www.archmil.org/,https://www.archmil.org/maps/parishes,,FALSE
Diocese of Green Bay,P.O. Box 23825,Green Bay,WI,http://www.gbdioc.org/,https://www.gbdioc.org/worship-jesus/find-a-parish/,,FALSE
Diocese of La Crosse,"3710 East Avenue South, P.O. Box 4004",La Crosse,WI,http://www.diolc.org/,https://diolc.org/parishes/,,FALSE
Diocese of Madison,"702 South High Point Road, P.O. Box 44983",Madison,WI,http://www.madisondiocese.org/,https://www.madisondiocese.org/directory#tabContent_6969466,,FALSE
Diocese of Superior,1201 Hughitt Avenue,Superior,WI,http://www.catholicdos.org/,https://www.catholicdos.org/parish-directory,,FALSE
Diocese of Cheyenne,2121 Capitol Avenue,Cheyenne,WY,https://dcwy.org/,https://dcwy.org/parishfinder,TRUE,FALSE
